Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PLUSMINUS,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
456,Nikita Kucherov,25,TBL,RW,82,41,87,128,24,62,14.6,26,15,0,8,54,33,0,246,16.7,1637,19:58,31,44,0,3,0
554,Connor McDavid,22,EDM,C,78,41,75,116,3,20,13,31,9,1,9,50,24,1,240,17.1,1781,22:50,30,39,428,490,46.6
420,Patrick Kane,30,CHI,RW,81,44,66,110,2,22,11.8,35,9,0,7,45,21,0,341,12.9,1822,22:29,18,21,1,4,20
206,Leon Draisaitl,23,EDM,C,82,50,55,105,2,52,12.6,31,16,3,5,42,13,0,231,21.6,1852,22:35,26,57,677,663,50.5
534,Brad Marchand,30,BOS,LW,79,36,64,100,15,96,11.7,23,10,3,9,36,24,4,231,15.6,1550,19:37,19,46,45,60,42.9
166,Sidney Crosby,31,PIT,C,79,35,65,100,18,36,11.4,23,12,0,3,46,17,2,220,15.9,1658,21:00:00,43,85,1012,814,55.4
523,Nathan MacKinnon,23,COL,C,82,41,58,99,20,34,11.8,29,12,0,6,33,25,0,365,11.2,1812,22:05,31,54,518,666,43.8
283,Johnny Gaudreau,25,CGY,LW,82,36,63,99,18,24,10.9,30,6,0,8,42,21,0,245,14.7,1646,20:04,12,12,1,2,33.3
796,Steven Stamkos,28,TBL,C,82,45,53,98,4,37,11.5,24,19,2,6,32,21,0,234,19.2,1501,18:18,40,72,506,447,53.1
36,Aleksander Barkov,23,FLA,C,82,35,61,96,-3,8,10,22,13,0,5,42,18,1,206,17,1833,22:21,61,28,1041,898,53.7
538,Mitch Marner,21,TOR,RW,82,26,68,94,22,22,9.8,22,3,1,5,48,18,2,233,11.2,1625,19:49,43,29,7,5,58.3
377,Jonathan Huberdeau,25,FLA,C,82,30,62,92,-14,40,9.1,19,11,0,5,39,23,0,226,13.3,1546,18:51,45,57,12,7,63.2
670,Brayden Point,22,TBL,C,79,41,51,92,27,28,11.4,21,20,0,7,36,15,0,191,21.5,1495,18:55,43,31,435,421,50.8
882,Blake Wheeler,32,WPG,RW,82,20,71,91,0,60,8.2,16,2,2,3,39,31,1,231,8.7,1698,20:43,53,81,31,57,35.2
629,Alex Ovechkin,33,WSH,LW,81,51,38,89,7,40,11,33,18,0,5,28,10,0,338,15.1,1695,20:55,41,223,1,4,20
826,John Tavares,28,TOR,C,82,47,41,88,19,34,11.3,37,10,0,8,32,9,0,286,16.4,1565,19:05,53,59,833,694,54.6
689,Mikko Rantanen,22,COL,RW,74,31,56,87,13,54,9.8,15,16,0,4,39,17,0,193,16.1,1542,20:51,41,59,17,29,37
636,Artemi Panarin,27,CBJ,LW,79,28,59,87,14,23,9.7,22,6,0,8,47,12,0,191,14.7,1569,19:51,17,14,1,3,25
298,Claude Giroux,31,PHI,C,82,22,63,85,9,24,7.9,19,2,1,4,42,21,0,229,9.6,1759,21:27,19,28,674,489,58
739,Mark Scheifele,25,WPG,C,82,38,46,84,8,38,9.4,26,12,0,6,32,11,3,199,19.1,1793,21:52,54,54,802,933,46.2
106,Brent Burns,33,SJS,D,82,16,67,83,13,34,12,8,7,1,6,42,21,4,300,5.3,2058,1:06,105,90,0,1,0
7,Sebastian Aho,21,CAR,C,82,30,53,83,25,26,9.8,23,3,4,7,31,21,1,243,12.3,1652,20:09:00,34,65,585,619,48.6
435,Phil Kessel,31,PIT,RW,82,27,55,82,-19,28,7.7,15,12,0,10,31,24,0,215,12.6,1474,17:59,18,12,4,5,44.4
226,Jack Eichel,22,BUF,C,77,28,54,82,-11,26,8.2,20,8,0,2,36,18,0,303,9.2,1574,20:26,51,70,597,673,47
577,Sean Monahan,24,CGY,C,78,34,48,82,7,12,8.9,22,12,0,5,37,11,0,211,16.1,1486,19:03,24,36,454,434,51.1
842,Jonathan Toews,30,CHI,C,82,35,46,81,2,40,8.3,25,9,1,5,32,14,0,235,14.9,1723,21:00,44,42,1059,821,56.3
641,David Pastrnak,22,BOS,RW,66,38,43,81,6,32,10.2,21,17,0,4,27,16,0,235,16.2,1238,18:45,25,57,1,2,33.3
754,Tyler Seguin,27,DAL,C,82,33,47,80,17,18,9.7,24,9,0,8,29,18,0,334,9.9,1701,20:45,47,74,676,579,53.9
54,Patrice Bergeron,33,BOS,C,65,32,47,79,23,30,10.1,19,9,4,3,26,18,3,205,15.6,1200,18:28,60,43,786,603,56.6
504,Elias Lindholm,24,CGY,C,81,27,51,78,30,20,8.4,17,9,1,5,31,17,3,182,14.8,1623,20:02,39,82,509,428,54.3
840,Matthew Tkachuk,21,CGY,LW,80,34,43,77,14,62,8.8,23,11,0,2,30,13,0,207,16.4,1408,17:36,13,104,6,7,46.2
620,Ryan O'Reilly,27,STL,C,82,28,49,77,22,12,8.8,21,6,1,5,31,16,2,234,12,1702,20:46,36,31,1086,824,56.9
163,Sean Couturier,26,PHI,C,80,33,43,76,2,34,7.8,24,8,1,5,34,9,0,223,14.8,1770,22:08:00,60,40,755,568,57.1
325,Jake Guentzel,24,PIT,C,82,40,36,76,13,26,9.4,33,6,1,4,31,5,0,227,17.6,1587,19:21,47,105,10,20,33.3
186,Alex DeBrincat,21,CHI,RW,82,41,35,76,0,15,8.8,28,13,0,3,24,11,0,220,18.6,1451,17:42:00,26,35,16,19,45.7
828,Teuvo Teravainen,24,CAR,LW,82,21,55,76,30,12,8.7,12,8,1,1,35,16,4,167,12.6,1469,17:55,23,35,18,25,41.9
